,X228365_at
0,8.72930622503132
1,7.4761082410406
2,7.78643137137438
3,8.98782386438403
4,7.01970927607409
5,5.45679914648069
6,8.70525528044266
7,5.13156413223486
8,5.18167743401211
9,7.47768843615087
10,8.55676247861395
11,7.63989639988572
12,7.28958521414497
13,5.04839413285547
14,8.34737117712357
15,8.04090482627979
16,5.01973387937275
17,7.62044446882851
18,9.27909219289463
19,5.4971928914441
20,8.02543434038635
21,7.08724656150554
22,6.27140778362347
23,7.7152013092118
24,7.38348409061345
25,7.04306468339155
26,5.51715187625296
27,7.82815982091036
28,8.9953117083604
29,8.88339335201801
30,8.03029294439904
31,8.60527774865957
32,4.89767611304926
33,9.57527761574466
34,9.15725584823578
35,8.47916179986386
36,7.95170206430336
37,9.13038609101106
38,7.76033659272554
39,8.74679135492369
40,4.84881633040314
41,7.12945885388869
42,8.13732895017908
43,8.050106681256
44,7.76197788897392
45,7.70872380968791
46,7.9089546809016
47,5.79841355646127
48,8.72244611556076
49,5.27596001488967
50,5.21030195949387
51,9.33610071611632
52,9.12674358385942
53,8.65793543701712
54,9.2279675107036
55,9.69961332618577
56,8.09182682800836
57,9.63605775888491
58,6.72984617470984
59,6.66630349214474
60,8.07958492809269
61,7.71563684329194
62,8.28595869815078
63,8.64774977718848
64,7.38681432965955
65,9.01869412602071
66,7.5439946880635
67,7.82419443322796
68,7.71950280894837
69,5.44683323735529
70,7.85404572846972
71,8.3796054605218
72,7.45638364814126
73,5.35121922685123
74,6.69121005257918
75,8.00141590951077
76,5.31398004422733
77,5.95561375110402
78,8.82543355760744
79,4.95498952074613
80,9.16004522725714
81,9.42389622693782
82,7.76739280208648
83,9.28345526971626
84,7.37693404163664
85,7.73225131874207
86,5.82898550880025
87,8.16015953866503
88,7.47546309004542
89,9.20009319965763
90,6.92065602403136
91,5.14006744081627
92,5.22097272437529
93,5.23468484092427
94,4.96745987013244
95,5.01284964309859
96,5.47006639343266
97,5.24642169394814
98,5.42572986923752
99,5.13885271800782
100,5.16970674771709
101,4.9157469787256
102,5.15602253332353
103,5.17597105849847
104,5.35182282232404
105,4.90804824873962
106,5.16681673447036
107,4.95375801701187
108,4.97925691245968
109,6.20842477629504
110,5.09648811497827
111,5.09590023308962
112,5.15491193507886
113,4.89438729788811
114,4.96821437962982
115,5.09072602956865
116,4.81226433331033
117,6.93620730688021
118,4.9630694786582
119,4.98277783664365
120,5.01626354739679
121,5.14544897056267
122,5.41256737751852
123,4.77085782863393
124,5.10456427939605
125,4.89396106032589
126,4.96174968115122
127,5.29141794002559
128,5.05880517493396
129,5.00922525763252
130,5.16260168306774
131,5.0661201450552
132,5.14274389277572
133,5.28029655276853
134,5.76033629634059
135,5.00123467565657
136,5.2815739746929
137,5.09019070239261
138,5.14547045193355
139,5.15284891144009
140,8.45901519614388
141,5.19589126378029
142,6.16603036529374
143,5.18126502592793
144,5.2160795733606
145,5.15556063103538
146,5.06847897748309
147,5.18431103553691
148,5.32747750607822
149,5.01398743447729
150,5.16515759255577
151,5.51630481590992
152,5.3286279728503
153,4.81351596650124
154,5.33698554960633
155,5.14121308556152
156,5.14977952910657
157,4.99897115567993
158,5.00169747027868
159,5.02897815023639
160,5.67533377996445
161,5.07416170645784
162,6.00193730195114
163,5.2010076408689
164,5.24594982556115
165,5.36701815192186
166,5.42879821907704
167,5.07073615608381
168,5.45075242843088
169,4.8533393846534
170,5.14269149626392
171,5.38015551876079
172,5.29313914906256
173,5.08371114832398
174,5.58614747614731
175,5.07307017573031
176,5.01003075204179
177,7.0220310888462
178,4.98275749019522
179,5.14168794415361
180,5.33794300444482
181,5.31919063178438
182,5.66209791405818
183,6.30870712061765
184,5.54370616950227
185,5.32491954862709
186,5.23772421749416
187,5.48272834276573
188,8.39102211316382
189,9.00657844914959
190,8.18198895118858
191,8.50598898052515
192,8.50454964567745
193,7.73809017145486
194,7.80331504752609
195,5.08631266950139
196,9.32165331656557
197,6.52559771080562
198,5.54141142417399
199,6.6374555420052
200,8.72821080135874
201,8.45325476024357
202,8.93562231927281
203,4.93412910575951
204,9.08007806519385
205,5.11849394410711
206,8.58207425154143
207,5.19991806442686
208,8.71601344472506
209,4.83629631855702
210,8.40012747237873
211,5.09322054529106
212,7.82504751392281
213,5.94994419928921
214,8.03251011608489
215,8.96297670909494
216,9.2673887696952
217,7.93239851593342
218,5.26888522499832
219,8.59630825111827
220,8.52078934430096
221,8.50886955884224
222,8.79141220632197
223,7.43001460137103
224,5.18542548303961
225,8.86105024668232
226,8.4711733257481
227,9.64167409645561
228,9.67372644836496
229,9.35960403532788
230,8.44515796169248
231,9.06999015512751
232,8.80213410666893
233,9.01786190562688
234,8.60992526437111
235,9.25261875634867
236,4.99203001940211
237,8.98721615041256
238,8.82420942657371
239,5.02975428118955
240,7.46673938574697
241,7.77371993230692
242,8.13805162843423
243,7.65520761709286
244,8.67029253540855
245,6.98662868808884
246,5.14847555674003
247,6.27853031997845
248,7.97895684697963
249,6.33947834863727
250,8.83474516981631
251,8.17203321960873
252,7.93123614952511
253,7.65227549134363
254,5.4350511143128
255,8.58450561293891
256,7.79682418150096
257,7.28175168174803
258,8.85287083390265
259,7.13340086505889
260,7.319661735732
261,8.3347477132846
262,7.53828466262009
263,7.23219953153683
264,8.00806977265702
265,8.82037336474703
266,7.53406932087148
267,9.32863553886586
268,7.48955814475726
269,8.33503532009664
270,5.1605480090663
271,8.67544007052241
272,8.11958149127869
273,8.60446012190333
274,8.05393150688284
275,5.73518549448043
276,5.21688280999769
277,8.16366156200719
278,6.87229691433077
279,7.38289387660729
280,7.7806562535554
281,6.13820939774574
282,5.07662563866626
283,7.91372344821311
284,9.36245853782644
285,8.61501725100116
286,9.34354734519059
287,8.38229086580272
288,8.80436169576127
289,8.6067677215575
290,8.83052688321115
291,5.11769145432477
292,8.62834295394341
293,9.348155647325
294,8.26489525257144
295,8.72312044752106
296,4.95562382503335
297,7.66178688155869
298,5.0149746003339
299,7.71823178355599
300,7.77556842474931
301,8.08421936295057
302,8.44443644499385
303,9.20940644433358
304,7.64346126395676
305,7.58793252876846
306,7.90972068750045
307,8.20083157725671
308,9.03743863064733
309,6.71099103699992
310,8.13242880753324
311,8.77805259389608
312,9.49069915163812
313,8.17474381492251
314,9.03441252106485
315,7.006763495068
316,5.01399929588721
317,8.37760173167466
318,6.26632625821532
319,8.93886571789352
320,4.92195722238198
321,9.31756470075903
322,9.07569131453714
323,8.10733161788933
324,9.02295714988823
325,8.93785360801328
326,9.19379800711471
327,9.79533736362282
328,7.88133283898833
329,5.33158822382225
330,7.91119497810867
331,5.07155654549848
332,7.62641772006024
333,7.48545607386317
334,7.79570721294905
335,9.22988066986142
336,9.07561096991108
337,7.30664907157613
338,4.97629191518362
339,8.06145601691366
340,9.42688038953966
341,9.17673438103379
342,5.22011120873006
343,8.79179323539352
344,4.95382741611934
345,5.11074980188642
346,5.12688646822344
347,9.37704327226748
348,8.37094759681034
349,10.1981847889925
350,9.81556763876656
351,5.25853497003888
352,9.88200443647787
353,8.49725316714678
354,6.6676995938061
355,9.90972042409175
356,7.57552334834078
357,8.88197572737632
358,8.80639323424652
359,9.38141608126318
360,9.6357681126176
361,8.89790446940572
362,7.71523081056294
363,9.97352006812076
364,5.27919525378711
365,9.31550950602331
366,8.25566899738177
367,8.23448355784036
368,8.39524448127506
369,8.51865436403408
370,9.02228573616943
371,8.51492716156912
372,5.0883541714915
373,5.22120279589029
374,8.39441052029239
375,8.60003288729548
376,8.19592521713584
377,5.26154050209533
378,9.55556393658764
379,5.80628606599381
380,6.21227221698578
381,9.08690187652685
382,9.85052411281029
383,8.43170313669525
384,8.51008960294063
385,9.06670028255034
386,8.34179236795863
387,6.92025536101599
388,9.17700589022143
389,6.58900932669027
390,8.11878858161128
391,7.0926369623966
392,9.06022571510276
393,9.38018497313665
394,8.32979569680954
395,6.54521690118519
396,5.36470222193961
397,6.8585136040691
398,8.68793671409635
399,5.83890694452355
400,6.52975330358129
401,5.65317959962545
402,5.0672128418176
403,7.90432051536673
404,4.95486410795161
405,8.71789720672498
406,8.85219591794835
407,8.16344749226624
408,8.94199277622934
409,8.20987420466543
410,7.61712959363398
411,7.7722124289817
412,8.20083673201624
413,6.93397066268108
414,9.60313732874533
415,9.07431364561324
416,8.20911368562908
417,5.16725490788774
418,5.38712315177128
419,9.79275877278234
420,5.16137885106763
421,8.36116311361971
422,9.33613217147927
423,9.15855866636733
424,9.42246141832835
425,9.36736075564188
426,9.53148445515618
427,8.80827739017111
428,8.52724773517833
429,9.28322500738864
430,10.1439402509014
431,9.42403181931083
432,8.07732936907964
433,9.73684347097319
434,9.77653194038645
435,7.37105068853384
436,9.33672656537953
437,7.90814743159209
438,9.10067981990934
439,8.91286567905547
440,7.7940044017648
441,7.98427336302211
442,5.67345800758766
443,7.30422664411261
444,7.17041391973294
445,7.83765356071505
446,9.11624282044646
