,201540_at
0,9.2715643241773
1,10.1883055629006
2,9.92639674868648
3,9.37772481705917
4,9.6953565685448
5,8.44978402252665
6,9.9439091132874
7,10.8698350615059
8,9.39618493574205
9,9.39982123319279
10,10.3647060152822
11,10.0959736735091
12,10.7672160474458
13,12.1904066779313
14,8.01141364368345
15,10.0787314335209
16,9.04716395982743
17,10.4797151107247
18,9.7993893789175
19,8.78993243927824
20,10.0839707386582
21,9.23454280151582
22,9.14967295342634
23,10.9724262594244
24,7.93123802415762
25,10.8097126121715
26,10.0522846122818
27,9.36004963250855
28,8.80067839393479
29,10.1200268469933
30,8.79372375344703
31,6.86761267073085
32,7.44938822428665
33,8.54168071704558
34,8.66032268899924
35,9.10952667574592
36,9.11602795131758
37,8.93991148900282
38,11.5584515118966
39,10.8063944524669
40,10.3300354564389
41,10.5297312409513
42,8.90664935684844
43,7.57320543542003
44,7.84309116458412
45,8.35196018454325
46,9.7683379181278
47,11.7397115931856
48,10.8806611322275
49,10.6318208147647
50,10.0548563743476
51,10.8298885417501
52,11.492946567846
53,9.58819210786373
54,7.41072490725786
55,8.30123068353303
56,9.94549893137572
57,8.96672144808849
58,8.31250158260138
59,10.9380941485692
60,10.1186362099267
61,10.049236491079
62,8.9929181036797
63,9.03757016181902
64,10.0303131967711
65,8.46614295071464
66,9.41509056788176
67,11.1448195576167
68,7.52997406130294
69,7.57981757114142
70,7.83753976915824
71,11.1864347815945
72,8.04920337663441
73,7.59273153089709
74,6.73383185360809
75,8.94462849193373
76,7.02047893036979
77,8.23509250967624
78,8.42162759465747
79,8.63645606901007
80,9.44993312077681
81,9.04482247980584
82,7.61825828691281
83,8.30920999197903
84,8.00906108068034
85,7.51845971555545
86,8.45343831548941
87,7.8093833294218
88,8.20428337603099
89,7.83087366667188
90,7.56022140788714
91,8.24147322225515
92,7.99012006027571
93,8.32608741217281
94,9.20548364192947
95,7.92316922105926
96,10.2779348050551
